name,TIN,country_iso_code
BAUER AKTIENGESELLSCHAFT,8130069404,DE
BAVARIA INDUSTRIES GROUP AG,8170613985,DE
BAWAG GROUP AG,FEB96069,AT
BAYER AG,5330000056,DE
BAYERISCHE LANDESBANK,FEB13109,DE
BAYERISCHE MOTOREN WERKE AG,8170003036,DE
BAYERNGAS GMBH,8170012767,DE
BAYWA AG,8170000724,DE
BEAULIEU INTERNATIONAL GROUP,0442824497,BE
BECHTLE AG,7070210543,DE
BEIJING ENTERPRISES WATER GROUP LIMITED,17819R,BM
BEISELEN HOLDING GMBH,8270189310,DE
BEKAERT SA/NV,0405388536,BE
BELFIUS BANQUE SA/NV,0403201185,BE
BENDIGO AND ADELAIDE BANK LIMITED,068049178,AU
BERGLANDMILCH EGEN,9070064401,AT
BERLINER VERKEHRSBETRIEBE (BVG),2010076154,DE
BERLINER WASSERBETRIEBE,2010208815,DE
BERNARD KRONE HOLDING SE & CO.KG,2410018203,DE
BERTELSMANN SE & CO. KGAA,4130000147,DE
BERTRANDT AG,7330384529,DE
BESIX GROUP,0400459154,BE
BETEILIGUNGSGESELLSCHAFT DES LANDES BADEN-WUERTTEMBERG MBH,7330575998,DE
BHP GROUP LIMITED,004028077,AU
BIESTERFELD AG,2151190501,DE
BIG DUTCHMAN AKTIENGESELLSCHAFT,2050279187,DE
BILFINGER SE,7170000175,DE
BLANC & FISCHER FAMILIENHOLDING GMBH,7230135892,DE
BLUESCOPE STEEL LIMITED,000011058,AU
BLUM GROUP HOLDING GMBH,9010000066,AT
BORBET GMBH,4270001515,DE
BORGERS SE & CO. KGAA,4030037720,DE
BPOST SA,0214596464,BE
BRAMBLES LIMITED,118896021,AU
BREMER LAGERHAUS-GESELLSCHAFT - AKTIENGESELLSCHAFT VON 1877,2050004094,DE
BRENNTAG SE,5250167797,DE
BROERMANN HOLDING GMBH,2151091368,DE
BROOKFIELD INFRASTRUCTURE PARTNERS L.P.,40126R,BM
BROOKFIELD RENEWABLE PARTNERS L.P.,45532R,BM
BUNDESIMMOBILIENGESELLSCHAFT M.B.H.,9110154355,AT
BUNGE LIMITED,20791R,BM
BUTTING GRUPPE GMBH & CO. KG,2070162354,DE
BV BETEILIGUNG GMBH & CO. KG,7050079035,DE
BW OFFSHORE LIMITED,36937R,BM
C. THYWISSEN GMBH,5270000712,DE
C.H. BOEHRINGER SOHN AG & CO. KG,6190007083,DE
CAFE DE CORAL HOLDINGS LIMITED,15888R,BM
CANCOM SE,8170916086,DE
CANOPIUS GROUP LTD,46447R,BM
CARL SPAETER GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,5070000226,DE
CARL ZEISS AG,7370126105,DE
CECONOMY AG,5050314384,DE
CHALLENGER LIMITED,106842371,AU
CHARITE UNIVERSITAETSMEDIZIN BERLIN,2010195224,DE
CHINA GAS HOLDINGS LIMITED,21056R,BM
CHINA OIL AND GAS GROUP LIMITED,17987R,BM
CHINA ORIENTAL GROUP COMPANY LIMITED,34395R,BM
CHINA YUCHAI INTERNATIONAL LIMITED,18267R,BM
CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,17107R,BM
CITROSUCO GMBH,9110778214,AT
CLAAS KOMMANDITGESELLSCHAFT AUF AKTIEN MBH,4130048617,DE
CLEANAWAY WASTE MANAGEMENT LIMITED,101155220,AU
COMMERZBANK AG,FEB13190,DE
COMMONWEALTH BANK OF AUSTRALIA,123123124,AU
COMPUTERSHARE LIMITED,005485825,AU
CONRAD HOLDING SE,8190661833,DE
CONTINENTAL AG,2190001578,DE
COPREM,0436467435,BE
COSAN LIMITED,39981R,BM
COVESTRO AG,5330324269,DE
CREDICORP LTD.,21045R,BM
CRONIMET HOLDING GMBH,7110274967,DE
CSL LIMITED,051588348,AU
CSR LIMITED,000001276,AU
CTS EVENTIM AG & CO. KGAA,8170524017,DE
D'IETEREN GROUP SA/NV,0403448140,BE
DACHSER GROUP SE & CO. KG,8150003091,DE
DAIRY FARM INTERNATIONAL HOLDINGS LIMITED,0000088888,BM
DALLI-WERKE GMBH & CO. KG,5010000218,DE
DEICHMANN SE,5110165584,DE
DEKABANK DEUTSCHE GIROZENTRALE,FEB13229,DE
DEKRA SE,7330474178,DE
DELFORTGROUP AG,9070011418,AT
DELOITTE DEUTSCHLAND GMBH WIRTSCHAFTSPRUEFUNGSGESELLSCHAFT,5050014272,DE
DELTON HEALTH AG,6290066746,DE
DEME GROUP N.V.,0787829347,BE
DEUTSCHE AVIA MINERALOEL-GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,8170013267,DE
DEUTSCHE BAHN AKTIENGESELLSCHAFT,2010198197,DE
DEUTSCHE BANK AG,FEB13216,DE
DEUTSCHE BOERSE AG,FEB54555,DE
DEUTSCHE LUFTHANSA AG,5190000974,DE
DEUTSCHE POST AG,5030147191,DE
DEUTSCHE TELEKOM AG,5030147137,DE
DEUTSCHE VERMOEGENSBERATUNG HOLDING GMBH,6110269484,DE
DEUTSCHES MILCHKONTOR EG,2050476735,DE
DEUTZ AG,5190001453,DE
DEVK DEUTSCHE EISENBAHN VERSICHERUNG SACH UND HUK VERSICHERUNGSVEREIN AG,FEI1014389,DE
DFI RETAIL GROUP HOLDINGS LIMITED,12293R,BM
DFS DEUTSCHE FLUGSICHERUNG GMBH,6210105842,DE
DHS DILLINGER HUETTE SAARSTAHL AG,7290116150,DE
DIEHL STIFTUNG & CO. KG,8190000498,DE
DIEHL VERWALTUNGS-STIFTUNG,8190458534,DE
DIERSCH & SCHROEDER GMBH & CO. KG,2050001530,DE
DIGITAL CHINA HOLDINGS LIMITED,29940R,BM
DIRK ROSSMANN GMBH,2190018834,DE
DKV MOBILITY SERVICES HOLDING GMBH + CO. KG,5050648178,DE
DO & CO AG,9110255555,AT
DOEHLER GROUP SE,6050103027,DE
DOMO CHEMICALS HOLDING,0424251076,BE
DOPPELMAYR HOLDING SE,9010013062,AT
DOPPLER BETEILIGUNGS GMBH,9070157507,AT
DOWNER EDI LIMITED,003872848,AU
DPG MEDIA GROUP,0440653281,BE
DR. ALEXANDER WACKER FAMILIENGESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,8170079142,DE
DRAEGERWERK AG & CO. KGAA,2270250508,DE
DUERR AG,7330266264,DE
DUISBURGER VERSORGUNGS- UND VERKEHRSGESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,5070007903,DE
DUSSMANN STIFTUNG & CO. KOMMANDITGESELLSCHAFT AUF AKTIEN,2010775667,DE
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FEB17881,DE
E. MERCK KG,6050002994,DE
E.ON SE,5050056484,DE
EAGERS AUTOMOTIVE LIMITED,009680013,AU
EAM GMBH & CO. KG,6150479593,DE
EBERSPAECHER GRUPPE GMBH & CO. KG,7330604199,DE
ECKES AKTIENGESELLSCHAFT,6190083700,DE
ECONOCOM GROUP  SE,0422646816,BE
EDEKA-HESSENRING EG,6150010557,DE
EDEKA HANDELSGESELLSCHAFT NORD MBH,2290060889,DE
EDEKA MINDEN-HANNOVER STIFTUNG & CO. KG,4230120196,DE
EDEKA MINDEN EG,4230027718,DE
EDEKA NORD EG,2290068406,DE
EDEKA NORDBAYERN-SACHSEN- THUERINGEN GMBH,8310000075,DE
EDEKA NORDBAYERN-SACHSEN-THUERINGEN EG,8310000076,DE
EDEKA SUEDBAYERN BETEILIGUNGSGESELLSCHAFT MBH,8130000325,DE
EDEKA SUEDWEST BETEILIGUNGSGESELLSCHAFT MBH.,7210091053,DE
EDEKA SUEDWEST EG,7210042326,DE
EDEKA ZENTRALE STIFTUNG & CO. KG,2151043450,DE
EINS ENERGIE IN SACHSEN GMBH & CO. KG,3030023408,DE
ELDERS LIMITED,004336636,AU
ELEKTROBAU MULFINGEN GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,7070001425,DE
ELIA GROUP SA,0476388378,BE
ELRINGKLINGER AG,7270184230,DE
ENBW ENERGIE BADEN-WUERTTEMBERG AG,7110175411,DE
ENECO BELGIE,0867055086,BE
ENERGIE- UND WASSERVERSORGUNG MITTLERES RUHRGEBIET GMBH,4050243906,DE
ENERGIE STEIERMARK AG,9030081447,AT
ENODIA,0204245277,BE
ERDGAS MUENSTER GMBH,4250003555,DE
ERNST & YOUNG GMBH WIRTSCHAFTSPRUEFUNGSGESELLSCHAFT,7330049677,DE
ERNST DELLO GMBH & CO. KG,2150027853,DE
ERNSTING STIFTUNGEN BETEILIGUNGS GMBH,4250167029,DE
ERSTE GROUP BANK AG,FEB46146,AT
ERSTE PAUL-HEINZ WESJOHANN GMBH & CO. KOMMANDITGESELLSCHAFT,2050450684,DE
ERWERBSGESELLSCHAFT DER S- FINANZGRUPPE MBH & CO. KG,FEB52725,DE
ESPRIT HOLDINGS LIMITED,18843R,BM
ESSENER VERSORGUNGS- UND VERKEHRSGESELLSCHAFT MBH (EVV),5110030440,DE
ETABLISSEMENTEN FRANZ COLRUYT NV,0400378485,BE
ETEX N.V.,0400454404,BE
ETHIAS,0404484654,BE
EURONAV NV,0860402767,BE
EUROPIPE GMBH,5250158417,DE
EVEREST RE GROUP LTD,26918R,BM
EVN AG,9110000017,AT
EW GROUP GMBH,2050224523,DE
EWE AKTIENGESELLSCHAFT,2370010537,DE
EXPERT SE,2190010491,DE
FEBELCO,0458780306,BE
FELIX SCHOELLER HOLDING GMBH & CO. KG,2310004607,DE
FERRERO MIDDLE AND EASTERN EUROPE GMBH,6070390774,DE
"FESER, GRAF & CO. AUTOMOBIL HOLDING GMBH",8190467800,DE
FESTO BETEILIGUNGEN GMBH & CO. KG,7330149116,DE
FIEGE LOGISTIK HOLDING STIFTUNG & CO. KG,4250371092,DE
FIELMANN AG,2150592381,DE
FINANZ INFORMATIK GMBH & CO. KG,6070382987,DE
FIRST PACIFIC COMPANY LIMITED,13704R,BM
FLIGHT CENTRE TRAVEL GROUP LIMITED,003377188,AU
FORTESCUE METALS GROUP LTD,002594872,AU
FORTUNA FAMILIEN GMBH,2012527023,DE
FRANZ HANIEL & CIE. GMBH,5070001932,DE
FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,6070009834,DE
FRAUENTHAL HOLDING AG,9110065885,AT
FREENET AG,2290224311,DE
FRESENIUS MANAGEMENT SE,6290263710,DE
FRESENIUS MEDICAL CARE AG & CO. KGAA,8110066557,DE
FRESENIUS SE & CO. KGAA,6290014544,DE
FREUDENBERG & CO. KOMMANDITGESELLSCHAFT,7170001092,DE
FRIEDHELM LOH STIFTUNG & CO. KG,6110229824,DE
FRIEDRICH BOYSEN HOLDING GMBH,7230186389,DE
FRITZ DRAEXLMAIER GMBH & CO. KG,8350099320,DE
"FRITZ SCHAEFER GMBH & CO KG, EINRICHTUNGSSYSTEME",4330006231,DE
FRITZ WAHR ENERGIE GMBH & CO.KG,7230347442,DE
FUCHS PETROLUB SE,7170002705,DE
FUER SIE HANDELSGENOSSENSCHAFT EG FOOD - NON FOOD,5190004115,DE
FUNKE MEDIENGRUPPE GMBH & CO. KGAA,5050707626,DE
GARD P & I (BERMUDA) LTD,13466R,BM
GASAG AG,2010085386,DE
GAUSELMANN AG,4170006202,DE
GEA GROUP AG,5050680511,DE
GEBR. HEINEMANN VERWALTUNGS SE,2151590039,DE
GEBR. KNAUF KG,8310000245,DE
GENOSSENSCHAFTLICHER FINANZVERBUND,FEB40257,DE
GENPACT LIMITED,39838R,BM
GEORG VON HOLTZBRINCK GMBH & CO. KG,7330253818,DE
GEORGSMARIENHUETTE HOLDING GMBH,2310097657,DE
GERRESHEIMER AG,5050511762,DE
GERRY WEBER INTERNATIONAL AG,4010008976,DE
GETEC ENERGIE HOLDING GMBH,3170295464,DE
GETREIDE-AKTIENGESELLSCHAFT VORM. P. KRUSE - CHR. SIECK,2290109061,DE
GFK SE,8190234249,DE
GLOBAL BRANDS GROUP HOLDING LIMITED,48453R,BM
GLOBUS HOLDING GMBH & CO. KG,7290208248,DE
GOLD CORPORATION,988382984,AU
GOME RETAIL HOLDINGS LIMITED,17111R,BM
GOTHAER VERSICHERUNGSBANK VVAG,FEI1008306,DE
GRAINCORP LIMITED,057186035,AU
GREAT EAGLE HOLDINGS LIMITED,14870R,BM
GREENYARD NV,0402777157,BE
GREINER AG,9070095635,AT
GRENKE AG,FEB28814,DE
GRILLO HANDEL HOLDING GMBH,5070214021,DE
GROB-WERKE GMBH & CO. KG,8150221231,DE
GROEP VANDEN AVENNE COMMODITIES,0884939017,BE
GROUPE BRUXELLES LAMBERT SA,0407040209,BE
GRUENENTHAL PHARMA GMBH & CO. KOMMANDITGESELLSCHAFT,5010003160,DE
H&R GMBH & CO. KGAA,2410121210,DE
HAEFELE SE & CO KG,7230006807,DE
HAGEBAU HANDELSGESELLSCHAFT FUER BAUSTOFFE MBH & CO. KG,2050014217,DE
HAGER SE,7290139996,DE
HAL TRUST,30004WN,BM
HAMBURG COMMERCIAL BANK AG,FEB19978,DE
HAMBURGER SPARKASSE AG,FEB13289,DE
HANDELSGESELLSCHAFT PETER CREMER M.B.H.,2150002815,DE
HANDTMANN BETEILIGUNGEN GMBH,8270187152,DE
HAPAG-LLOYD AG,2151180573,DE
HARRY-BROT GMBH,2390004557,DE
HARVEY NORMAN HOLDINGS LIMITED,003237545,AU
HAUBRICH GMBH,5050001073,DE
HBPO BETEILIGUNGSGESELLSCHAFT MBH,4290185470,DE
HEAG HOLDING AG - BETEILIGUNGSMANAGEMENT DER WISSENSCHAFTSSTADT DARMSTADT (HEAG),6050011386,DE
HEALIUS LIMITED,064530516,AU
HEIDELBERG MATERIALS AG,7050000100,DE
HEIDELBERGER DRUCKMASCHINEN AG,7050000584,DE
HEINZEL HOLDING GMBH,9070038529,AT
HELEN OF TROY LIMITED,18921R,BM
HELM AG,2150002716,DE
HENKEL AG & CO.,5050001329,DE
HERAEUS HOLDING GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,6130022168,DE
HERISTO HOLDING GMBH,2310181318,DE
HERRENKNECHT AKTIENGESELLSCHAFT,7210003550,DE
HETTICH HOLDING GMBH & CO. OHG,4170005010,DE
HGV HAMBURGER GESELLSCHAFT FUER VERMOEGENS- UND BETEILIGUNGSMANAGEMENT MBH,2150023560,DE
HIRSCHVOGEL HOLDING GMBH,8030003110,DE
HISCOX LTD,38877R,BM
HOCHLAND HOLDING GMBH & CO. KG,8150002518,DE
HOCHWALD MILCH EG,5350014482,DE
HOGAST EINKAUFSGENOSSENSCHAFT FUER DAS HOTEL- UND GASTGEWERBE REGISTRIERTE GENOSSENSCHAFT MIT BESCHRAENKTER HAFTUNG,9130001945,AT
HOMESTEAD GMBH & CO. KG,2310175078,DE
HONGKONG LAND HOLDINGS LIMITED,14440R,BM
HORNBACH BAUMARKT AG,7190001137,DE
HORNBACH HOLDING AG & CO. KGAA,7190001133,DE
HORNBACH MANAGEMENT AG,7190172646,DE
HOYER GMBH INTERNATIONALE FACHSPEDITION,2150007720,DE
HR RAIL,0541691352,BE
HUF BETEILIGUNGEN GMBH,5370027926,DE
HUGO BOSS AG,7270000251,DE
I.K. HOFMANN GMBH,8190103008,DE
IFM STIFTUNG & CO. KG,5110401537,DE
INA-HOLDING SCHAEFFLER GMBH & CO. KG,8190458455,DE
INCITEC PIVOT LIMITED,004080264,AU
INDUS HOLDING AG,5190250052,DE
INFINEON TECHNOLOGIES AG,8330359160,DE
INFRASERV GMBH & CO. HOECHST KG,6070287851,DE
INGHAMS GROUP LIMITED,162709506,AU
INNOGY SE,5110426441,DE
INSURANCE AUSTRALIA GROUP LTD,090739923,AU
INVESCO LTD,40671R,BM
J. BUENTING BETEILIGUNGS AG,2250062636,DE
JARDINE MATHESON HOLDINGS LIMITED,10621R,BM
JARDINE STRATEGIC HOLDINGS LIMITED,12455R,BM
JB HI-FI LIMITED,093220136,AU
JMV GMBH & CO. KG,7370096132,DE
JOH. VAILLANT GMBH & CO KG,5330169218,DE
JOHANNES UND JACOB KLEIN GMBH,7150001076,DE
JOHNSON ELECTRIC HOLDINGS LIMITED,14109R,BM
JUNGHEINRICH AG,2150423028,DE
K+S AKTIENGESELLSCHAFT,6150130305,DE
KAEFER SE & CO. KG,2050005758,DE
KAESER KOMPRESSOREN SE,8090000263,DE
KARL STORZ SE & CO. KG,7270007346,DE
KAUFLAND STIFTUNG & CO. KG,7070003823,DE
KBC GROEP NV/ KBC GROUPE SA,0403227515,BE
KFW BANKENGRUPPE,FEB13328,DE
KIH VERMOEGENSVERWALTUNGSGESELLSCHAFT MBH,4070483701,DE
KION GROUP AG,6250214475,DE
KIRCHHOFF AUTOMOTIVE HOLDING GMBH & CO. KG,4190086199,DE
KLOECKNER & CO SE,5070287627,DE
KNAUF INTERFER SE,5110256166,DE
KOEHLER HOLDING SE & CO. KG,7210084136,DE
KOENIG UND BAUER AG,8310000712,DE
KOERBER AG,2150637488,DE
KOMMANDITGESELLSCHAFT CURA VERMOEGENSVERWALTUNG G.M.B.H. & CO,2150028315,DE
KRAHN VERWALTUNGS-GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,2150298245,DE
KROMBERG & SCHUBERT GMBH,5410000541,DE
KRONES AG,8230001051,DE
KRUEGER GMBH & CO. KOMMANDITGESELLSCHAFT,5190003917,DE
KSBG KOMMUNALE BETEILIGUNGSGESELLSCHAFT GMBH & CO. KG,5110364921,DE
"KVVH - KARLSRUHER VERSORGUNGS-, VERKEHRS- UND HAFEN GMBH",7110174230,DE
KWIZDA BETEILIGUNGS GMBH,9110196200,AT
KWS SAAT SE & CO. KGAA,2110001491,DE
L. POSSEHL & CO. MIT BESCHRAENKTER HAFTUNG,2270000294,DE
LANDESBANK BADEN-WUERTTEMBERG,FEB47734,DE
LANDESBANK HESSEN-THUERINGEN GIROZENTRALE - HELABA,FEB13306,DE
LANDGARD EG,5130000922,DE
LANXESS AG,5330203631,DE
LAPP HOLDING SE,7330542703,DE
LAUMANN STIFTUNG & CO. KG,4150088862,DE
LAZARD LIMITED,36011R,BM
LEKKERLAND SE & CO. KG.,5190004483,DE
LENDLEASE GROUP,00056AA,AU
LENZING AG,9070004112,AT
LEONHARD KURZ STIFTUNG & CO. KG,8190058500,DE
LEONHARD WEISS GMBH & CO. KG,7370019363,DE
LEONI AG,8190004727,DE
LIDL STIFTUNG & CO. KG,7070027297,DE
LINDNER GROUP KG,8350032695,DE
LUFTSCHIFFBAU ZEPPELIN GMBH,8210008867,DE
LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED,22291R,BM
LVM LANDWIRTSCHAFTLICHER VERSICHERUNGSVEREIN MUNSTER A.G.,FEI1006965,DE
LVV LEIPZIGER VERSORGUNGS- UND VERKEHRSGESELLSCHAFT MBH,3150181307,DE
MAATSCHAPPIJ VOOR ROEREND BEZIT VAN DE BOERENBOND,0403552959,BE
MACQUARIE GROUP LTD,122169279,AU
MAHLE BEHR GMBH & CO. KG,7330005317,DE
MAHLE GMBH,7330000869,DE
MAN SE,8170085484,DE
MANN + HUMMEL INTERNATIONAL GMBH & CO. KG,7331094474,DE
MANUCHAR,0407045751,BE
MAPFRE ASISTENCIA COMPANIA INTERNAT. DE SEGUROS Y REASEGUROS,0866778241,BE
MARIENHAUS GMBH,5290055920,DE
MARS HOLDING GMBH,2050501533,DE
MAX BOEGL STIFTUNG & CO. KG,8190003779,DE
MAXINGVEST AG,2150000169,DE
MAYR-MELNHOF KARTON AG,9110055656,AT
MC FAMILIENGESELLSCHAFT MBH,8290748949,DE
MCKESSON EUROPE AG,7330004473,DE
MEDIBANK PRIVATE LIMITED,080890259,AU
MEGGLE GROUP GMBH,8250036769,DE
MERCEDES-BENZ GROUP AG,7330530056,DE
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN,6050108507,DE
MESSER INDUSTRIE GMBH,6290000252,DE
METCASH LIMITED,112073480,AU
MHM HOLDING GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,8330150344,DE
MIELE BETEILIGUNGS-GMBH,4130008061,DE
MILCOBEL,0870019427,BE
MINERAL RESOURCES LIMITED,118549910,AU
MOBENE GMBH & CO. KG,2151541172,DE
MONADELPHOUS GROUP LIMITED,008988547,AU
MTB BETEILIGUNGEN AG,9110511745,AT
MTU AERO ENGINES AG,8170664388,DE
MUELLER HOLDING GMBH & CO. KG,8270242735,DE
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUNCHEN,FEI1007130,DE
MURJAHN SE & CO FAMILIEN KG,6050290452,DE
MVV ENERGIE AG,7170013574,DE
NABORS INDUSTRIES LTD.,31431R,BM
NAEDER HOLDING GMBH & CO. KG,2110148648,DE
NAGEL-GROUP SE & CO. KG,4010176713,DE
NATIONAL AUSTRALIA BANK LIMITED,004044937,AU
NDW BETEILIGUNGSGESELLSCHAFT MBH,7050009127,DE
NEUMANN GRUPPE GMBH,2150816674,DE
NEW KOMMUNALHOLDING GMBH,5230349676,DE
NEW YORKER SE,2030324377,DE
NEWCREST MINING LIMITED,005683625,AU
NEWOCEAN ENERGY HOLDINGS LIMITED,25710R,BM
NIB HOLDINGS LTD,125633856,AU
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,122203892,AU
NLMK BELGIUM HOLDINGS,0473110669,BE
NORDDEUTSCHER RUNDFUNK GEMEINNUETZIGE ANSTALT DES OEFFENTLICHEN RECHTES (NDR),2150116830,DE
NORDEX SE,3190358583,DE
NORDZUCKER HOLDING AG,2030192865,DE
NORMA GROUP SE,6130158964,DE
NORWEGIAN CRUISE LINE HOLDINGS LTD.,45125R,BM
NOVO INVEST GMBH,9110795522,AT
NOWEDA APOTHEKERGENOSSENSCHAFT EG,5110000996,DE
NUFARM LTD,091323312,AU
OBI GROUP HOLDING SE & CO. KGAA,5310031297,DE
ODFJELL DRILLING LTD,37607R,BM
OESTERREICHISCHE POST AG,9110303898,AT
OKTAN MINERALOEL-VERTRIEB GMBH,2151291244,DE
OMV AKTIENGESELLSCHAFT,9110015290,AT
ONTEX GROUP NV,0550880915,BE
OOE LANDESHOLDING GMBH,9070155786,AT
ORES ASSETS,0543696579,BE
ORICA LIMITED,004145868,AU
ORIGIN ENERGY LIMITED,000051696,AU
ORORA LIMITED,004275165,AU
ORTWIN GOLDBECK HOLDING SE,4010006294,DE
OTTO AKTIENGESELLSCHAFT FUER BETEILIGUNGEN,2150026987,DE
P&V ASSURANCES,0402236531,BE
PACIFIC BASIN SHIPPING LIMITED,35005R,BM
PACT GROUP HOLDINGS LIMITED,145989644,AU
PALFINGER AG,9130000041,AT
PEKING UNIVERSITY RESOURCES (HOLDINGS) COMPANY LIMITED,16638R,BM
PFALZWERKE AKTIENGESELLSCHAFT,7150000163,DE
PHOENIX CONTACT GMBH & CO. KG,4170001871,DE
PIERER KONZERNGESELLSCHAFT MBH,9070071073,AT
PIERER MOBILITY AG,9110050653,AT
PLANSEE HOLDING AG,9050004491,AT
PRICEWATERHOUSECOOPERS GMBH WIRTSCHAFTSPRUEFUNGSGESELLSCHAFT,6070312009,DE
PRIMEPULSE SE,8270315870,DE
PRINZHORN HOLDING GMBH,9150024908,AT
PROSIEBENSAT.1 MEDIA SE,8330261794,DE
PROVINZIAL HOLDING AG,FEI1010779,DE
PROXIMUS SA,0202239951,BE
PUMA SE,8190142456,DE
QANTAS AIRWAYS LIMITED,009661901,AU
QBE INSURANCE GROUP LTD,008485014,AU
QUBE HOLDINGS LIMITED,149723053,AU
RAG-STIFTUNG,5110295943,DE
RAIFFEISEN-HOLDING NIEDEROSTERREICH-WIEN REGISTRIERTE GENOSSENSCHAFT MIT BESCHRANKTER HAFTUNG,FEB40084,AT
RAIFFEISEN BANK INTERNATIONAL AG,FEB40494,AT
RAIFFEISEN WAREN-ZENTRALE RHEIN-MAIN EG,5190519503,DE
RAIFFEISEN WAREN GMBH,6150000320,DE
RAIFFEISENBANKENGRUPPE OOE VERBUND EGEN,FEB52522,AT
RAMSAY HEALTH CARE LIMITED,001288768,AU
REECE LIMITED,004313133,AU
RENAISSANCERE HOLDINGS LTD,18387R,BM
RETHMANN SE & CO. KG,4250246435,DE
REWE-ZENTRALFINANZ EG,5190000091,DE
RHEINMETALL AG,5050000137,DE
RIO TINTO LIMITED,004458404,AU
ROAD KING INFRASTRUCTURE LIMITED,21789R,BM
ROECHLING SE & CO. KG,7170007151,DE
ROHDE & SCHWARZ GMBH & CO. KOMMANDITGESELLSCHAFT,8170001048,DE
ROSENBAUER INTERNATIONAL AG,9070008375,AT
ROSENBERGER GMBH & CO. KG,8250305795,DE
ROXCEL HOLDING GMBH,9110445045,AT
RUTRONIK ELEKTRONISCHE BAUELEMENTE GMBH,7230150149,DE
RWE AKTIENGESELLSCHAFT,5110206610,DE
SAF-HOLLAND SE,8010209235,DE
SALZGITTER AG,2030002539,DE
SANA KLINIKEN AG,8330397830,DE
SANACORP EG PHARMAZEUTISCHE GROSSHANDLUNG,8330132690,DE
SANTOS LTD,007550923,AU
SAP SE,7050001788,DE
SARTORIUS AG,2110000553,DE
SCANIA CV DEUTSCHLAND HOLDING GMBH,5170130820,DE
SCENTRE GROUP,32694AA,AU
SCHAEFFLER AG,8190034860,DE
